@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R41-42-weka.filters.unsupervised.attribute.Remove-R37-40

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute Y0 numeric
@attribute Y1 numeric
@attribute Y2 numeric
@attribute Y3 numeric
@attribute Y4 numeric
@attribute Y5 numeric
@attribute Y6 numeric
@attribute Y7 numeric
@attribute Y8 numeric
@attribute Y9 numeric
@attribute Z0 numeric
@attribute Z1 numeric
@attribute Z2 numeric
@attribute Z3 numeric
@attribute Z4 numeric
@attribute Z5 numeric
@attribute Z6 numeric
@attribute Z7 numeric
@attribute Z8 numeric
@attribute Z9 numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XPEAK numeric
@attribute YPEAK numeric
@attribute ZPEAK numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0.04,0.09,0.14,0.12,0.11,0.1,0.08,0.13,0.13,0.08,0.09,0.1,0.11,0.11,0.08,0.04,0.16,0.13,0.1,0.03,0.12,0.08,0.09,0.12,0.1,0.1,0.08,0.11,0.12,0.1,0,8.4,1.76,2075,293.94,1550,Jogging
0.12,0.12,0.06,0.07,0.11,0.1,0.11,0.09,0.12,0.1,0.12,0.11,0.07,0.1,0.13,0.13,0.06,0.11,0.1,0.04,0.11,0.11,0.11,0.09,0.12,0.1,0.11,0.1,0.07,0.08,0,7.62,1.43,1525,269.44,1233.33,Jogging
0.14,0.09,0.11,0.09,0.09,0.11,0.12,0.08,0.05,0.12,0.09,0.1,0.12,0.1,0.1,0.12,0.08,0.07,0.1,0.06,0.07,0.11,0.1,0.09,0.08,0.11,0.11,0.09,0.1,0.12,0,7.77,2.39,1766.67,248.65,1780,Jogging
0.06,0.1,0.09,0.09,0.11,0.07,0.12,0.1,0.14,0.14,0.12,0.08,0.11,0.1,0.1,0.11,0.11,0.1,0.08,0.11,0.1,0.1,0.11,0.1,0.09,0.07,0.12,0.14,0.07,0.11,0,9.57,0.49,2525,709.09,1380,Walking
0.12,0.11,0.1,0.08,0.1,0.14,0.1,0.11,0.08,0.07,0.1,0.11,0.07,0.09,0.1,0.11,0.1,0.11,0.14,0.09,0.1,0.09,0.11,0.1,0.11,0.11,0.08,0.09,0.14,0.1,0,9.76,0.51,1075,3300,1775,Walking
0.09,0.09,0.1,0.12,0.08,0.06,0.09,0.08,0.07,0.08,0.07,0.1,0.11,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.08,0.1,0.06,0.09,0.09,0.11,0.08,0.08,0.07,0.08,0,7.73,0.31,3125,1337.5,2675,Walking
0.12,0.12,0.12,0.13,0.15,0.11,0.08,0.09,0.06,0.03,0.1,0.11,0.09,0.1,0.1,0.12,0.09,0.11,0.1,0.1,0.13,0.08,0.11,0.12,0.08,0.07,0.09,0.1,0.11,0.13,0,9.2,1.19,4900,1058.33,1825,Upstairs
0.1,0.1,0.1,0.1,0.11,0.11,0.09,0.09,0.12,0.12,0.09,0.11,0.1,0.08,0.1,0.12,0.08,0.1,0.11,0.11,0.08,0.11,0.1,0.1,0.12,0.1,0.13,0.1,0.07,0.1,0,9.3,1.4,800,1275,2983.33,Upstairs
0.08,0.07,0.08,0.08,0.05,0.08,0.14,0.1,0.15,0.16,0.12,0.09,0.09,0.12,0.11,0.08,0.11,0.09,0.1,0.1,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0,9.06,1.38,1283.33,845.45,1533.33,Upstairs
0.01,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0,0,0.01,0.02,0,0.01,0,0,0.01,0,0,0,0,0.39,-0.01,1840.901477,125,2032.625601,Upstairs
0.03,0.08,0.07,0.07,0.09,0.13,0.14,0.16,0.1,0.12,0.12,0.11,0.11,0.14,0.08,0.11,0.09,0.09,0.08,0.08,0.11,0.08,0.1,0.08,0.07,0.08,0.09,0.11,0.07,0.19,0,7.93,2.69,175,875,175,Downstairs
0.1,0.1,0.14,0.11,0.1,0.09,0.09,0.09,0.08,0.12,0.09,0.11,0.1,0.07,0.13,0.09,0.07,0.12,0.12,0.1,0.07,0.14,0.12,0.11,0.13,0.09,0.11,0.07,0.12,0.05,0,8.99,2.04,1200,1520,1460,Downstairs
0.17,0.11,0.08,0.12,0.11,0.11,0.06,0.07,0.12,0.06,0.08,0.08,0.08,0.11,0.09,0.1,0.13,0.09,0.11,0.13,0.11,0.09,0.08,0.12,0.09,0.14,0.1,0.12,0.11,0.07,0,9.16,2.2,2016.67,3875,2700,Downstairs
0,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0.38,0.08,1840.901477,1069.140032,2032.625601,Downstairs
0.03,0.11,0.07,0.12,0.08,0.09,0.11,0.12,0.13,0.15,0.08,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.11,0.11,0.09,0.1,0.13,0.11,0.11,0.11,0.1,0.11,0.06,0.11,0,8.83,2.38,1550,3325,3900,Upstairs
0.15,0.11,0.08,0.1,0.12,0.13,0.08,0.1,0.07,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.12,0.11,0.11,0.09,0.13,0.09,0.11,0.11,0.06,0.1,0.09,0.08,0.13,0.11,0,8.57,2.39,3675,1850,3525,Upstairs
0.09,0.06,0.11,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.07,0.07,0.06,0.07,0.07,0.08,0.06,0.04,0.09,0.06,0.06,0.06,0.06,0.09,0.05,0.09,0.08,0.08,0.06,0,5.7,1.54,1350,1066.67,1833.33,Upstairs
0.05,0.08,0.08,0.09,0.09,0.1,0.09,0.14,0.14,0.14,0.11,0.07,0.11,0.11,0.09,0.13,0.11,0.1,0.09,0.11,0.08,0.1,0.11,0.09,0.1,0.09,0.14,0.1,0.12,0.09,0,9.18,2.32,562.5,1566.67,1562.5,Downstairs
0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.1,0.05,0.12,0.09,0.12,0.09,0.11,0.11,0.08,0.1,0.09,0.11,0.12,0.1,0.1,0.09,0.11,0.1,0.09,0.11,0.1,0.08,0.13,0,9.17,2.3,2000,1300,4075,Downstairs
0.1,0.07,0.11,0.06,0.04,0.08,0.05,0.05,0.04,0.04,0.07,0.08,0.07,0.06,0.07,0.06,0.05,0.08,0.06,0.05,0.08,0.07,0.05,0.06,0.09,0.06,0.04,0.06,0.07,0.05,0,5.33,1.25,1925,1633.33,2175,Downstairs
0.01,0.06,0.09,0.08,0.07,0.1,0.11,0.18,0.14,0.16,0.08,0.1,0.1,0.11,0.08,0.08,0.1,0.13,0.12,0.11,0.08,0.11,0.12,0.14,0.09,0.13,0.11,0.08,0.07,0.1,0,9.02,2.23,2500,1031.25,1640,Upstairs
0.09,0.08,0.06,0.1,0.13,0.11,0.13,0.1,0.12,0.11,0.11,0.1,0.09,0.09,0.12,0.11,0.08,0.11,0.08,0.12,0.11,0.11,0.09,0.08,0.13,0.09,0.1,0.09,0.12,0.1,0,8.88,2.41,1216.67,1233.33,3450,Upstairs
0.18,0.14,0.12,0.1,0.07,0.07,0.03,0.01,0.02,0.01,0.08,0.08,0.08,0.09,0.07,0.08,0.09,0.05,0.07,0.05,0.08,0.05,0.04,0.07,0.06,0.07,0.1,0.1,0.1,0.08,0,6.15,1.97,733.33,1850,1916.67,Upstairs
0.02,0.07,0.08,0.09,0.09,0.11,0.1,0.14,0.15,0.15,0.1,0.12,0.1,0.1,0.1,0.07,0.12,0.1,0.12,0.09,0.06,0.09,0.14,0.11,0.11,0.09,0.12,0.1,0.1,0.1,0,9,2.58,1300,850,2075,Downstairs
0.15,0.12,0.1,0.07,0.13,0.09,0.1,0.1,0.07,0.09,0.1,0.11,0.08,0.11,0.11,0.13,0.07,0.08,0.11,0.11,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.1,0.1,0.12,0,9.15,2.58,3066.67,691.67,1660,Downstairs
0.1,0.1,0.09,0.1,0.06,0.09,0.07,0.04,0.06,0.04,0.07,0.05,0.1,0.07,0.06,0.08,0.09,0.09,0.05,0.08,0.1,0.1,0.05,0.05,0.08,0.08,0.07,0.07,0.08,0.06,0,6.74,1.74,1725,1108.33,1500,Downstairs
0.05,0.08,0.06,0.05,0.11,0.11,0.14,0.12,0.17,0.11,0.09,0.09,0.11,0.09,0.14,0.12,0.07,0.1,0.07,0.15,0.12,0.09,0.13,0.09,0.09,0.1,0.1,0.12,0.08,0.12,0,9.08,2.42,2925,543.75,1475,Upstairs
0.11,0.07,0.09,0.11,0.1,0.09,0.1,0.1,0.09,0.15,0.12,0.09,0.13,0.11,0.06,0.09,0.1,0.11,0.14,0.08,0.11,0.12,0.08,0.11,0.11,0.07,0.11,0.08,0.1,0.11,0,8.65,2.59,1675,3650,1100,Upstairs
0.11,0.12,0.12,0.09,0.07,0.04,0.05,0.04,0.02,0.01,0.05,0.08,0.04,0.07,0.06,0.07,0.1,0.06,0.06,0.04,0.03,0.04,0.08,0.06,0.07,0.07,0.08,0.07,0.11,0.04,0,5.7,1.69,800,600,1450,Upstairs
0.06,0.09,0.07,0.12,0.08,0.11,0.12,0.11,0.11,0.12,0.11,0.09,0.08,0.1,0.14,0.09,0.11,0.09,0.12,0.09,0.08,0.08,0.09,0.11,0.09,0.1,0.11,0.13,0.12,0.09,0,8.93,2.42,1675,1533.33,1387.5,Downstairs
0.09,0.13,0.13,0.08,0.12,0.1,0.1,0.09,0.11,0.09,0.09,0.14,0.1,0.1,0.07,0.11,0.11,0.09,0.09,0.11,0.12,0.12,0.08,0.1,0.13,0.1,0.09,0.09,0.08,0.1,0,8.67,2.03,2266.67,942.86,1283.33,Downstairs
0.09,0.05,0.05,0.06,0.05,0.07,0.04,0.06,0.04,0.05,0.06,0.03,0.07,0.07,0.04,0.06,0.04,0.08,0.05,0.06,0.04,0.07,0.07,0.06,0.03,0.05,0.06,0.04,0.05,0.07,0,5,1.33,425,808.33,600,Downstairs
0.08,0.1,0.11,0.1,0.16,0.1,0.1,0.12,0.07,0.08,0.11,0.1,0.11,0.1,0.14,0.07,0.09,0.11,0.1,0.05,0.13,0.08,0.07,0.11,0.12,0.11,0.1,0.07,0.11,0.11,0,8.94,1.69,1575,315.52,3075,Jogging
0.12,0.09,0.11,0.08,0.08,0.09,0.11,0.1,0.11,0.11,0.09,0.09,0.1,0.07,0.12,0.11,0.1,0.09,0.13,0.06,0.07,0.12,0.14,0.1,0.08,0.09,0.12,0.12,0.1,0.07,0,10.02,1.52,1633.33,275.71,2700,Jogging
0.07,0.1,0.06,0.1,0.05,0.09,0.07,0.06,0.1,0.09,0.08,0.09,0.07,0.11,0.03,0.1,0.09,0.08,0.05,0.06,0.09,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.1,0,6.97,1.42,1775,291.3,1875,Jogging
0.08,0.08,0.09,0.09,0.1,0.13,0.08,0.15,0.12,0.08,0.09,0.14,0.09,0.08,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.06,0.13,0.1,0.13,0.09,0.09,0.11,0.11,0.08,0,9.59,0.21,2533.33,861.11,1600,Walking
0.11,0.09,0.13,0.1,0.1,0.07,0.09,0.1,0.11,0.11,0.12,0.06,0.07,0.13,0.11,0.1,0.12,0.13,0.09,0.08,0.09,0.13,0.1,0.13,0.09,0.12,0.08,0.08,0.09,0.12,0,9.64,0.21,3300,1131.25,1650,Walking
0.1,0.11,0.08,0.1,0.1,0.1,0.1,0.05,0.06,0.11,0.08,0.09,0.13,0.08,0.07,0.09,0.09,0.08,0.1,0.1,0.08,0.13,0.05,0.06,0.07,0.08,0.12,0.1,0.1,0.09,0,8.49,0.53,1337.5,655.56,1320,Walking
0.06,0.08,0.12,0.15,0.2,0.1,0.08,0.11,0.06,0.06,0.08,0.09,0.14,0.1,0.1,0.13,0.09,0.09,0.1,0.03,0.13,0.06,0.09,0.1,0.08,0.11,0.14,0.12,0.08,0.11,0,9.7,0.69,1800,236.49,1600,Jogging
0.12,0.06,0.12,0.11,0.06,0.11,0.1,0.16,0.1,0.08,0.07,0.13,0.1,0.1,0.1,0.1,0.08,0.08,0.12,0.04,0.1,0.09,0.09,0.11,0.09,0.13,0.14,0.11,0.06,0.1,0,10.48,0.76,2975,221.43,1700,Jogging
0.13,0.1,0.08,0.08,0.09,0.11,0.07,0.12,0.16,0.07,0.1,0.12,0.09,0.13,0.07,0.08,0.1,0.08,0.13,0.03,0.1,0.11,0.1,0.1,0.12,0.13,0.09,0.1,0.08,0.1,0,10.04,0.72,1750,242.5,1683.33,Jogging
0.16,0.12,0.06,0.05,0.07,0.13,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.08,0.09,0.08,0.13,0.14,0.08,0.02,0.15,0.1,0.14,0.06,0.09,0.1,0.09,0.07,0.11,0.12,0,9.41,0.22,1350,287.88,4000,Jogging
0.09,0.12,0.11,0.12,0.08,0.1,0.09,0.1,0.08,0.13,0.09,0.11,0.11,0.1,0.08,0.12,0.09,0.11,0.12,0.02,0.11,0.11,0.08,0.07,0.11,0.09,0.09,0.16,0.1,0.11,0,10.18,0.96,2950,278.57,2075,Jogging
0.09,0.1,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.1,0.13,0.1,0.1,0.12,0.11,0.09,0.07,0.09,0.11,0.03,0.06,0.14,0.08,0.11,0.1,0.12,0.06,0.13,0.12,0.1,0,9.47,0.91,1616.67,310.34,4250,Jogging
0.09,0.12,0.1,0.09,0.09,0.07,0.12,0.07,0.12,0.15,0.09,0.1,0.09,0.08,0.09,0.11,0.12,0.15,0.09,0.01,0.11,0.09,0.12,0.12,0.09,0.08,0.07,0.11,0.15,0.08,0,10.45,0.68,2262.5,276.47,4225,Jogging
0.1,0.12,0.11,0.09,0.06,0.1,0.13,0.11,0.11,0.11,0.15,0.1,0.11,0.08,0.08,0.13,0.12,0.08,0.07,0.01,0.07,0.1,0.13,0.08,0.12,0.09,0.11,0.09,0.11,0.12,0,9.04,0.95,900,346.43,4425,Jogging
0.08,0.09,0.08,0.11,0.19,0.08,0.12,0.06,0.08,0.11,0.11,0.05,0.05,0.11,0.17,0.11,0.11,0.1,0.1,0.02,0.08,0.11,0.11,0.16,0.13,0.06,0.1,0.06,0.11,0.07,0,9.81,0.44,875,326.09,1187.5,Jogging
0.15,0.24,0.1,0.08,0.11,0.09,0.08,0.03,0.08,0.06,0.1,0.07,0.07,0.09,0.07,0.26,0.08,0.09,0.1,0.1,0.07,0.11,0.06,0.08,0.11,0.15,0.17,0.07,0.12,0.08,0,9.92,-0.06,1100,1000,1500,Walking
0.08,0.05,0.1,0.1,0.13,0.14,0.1,0.11,0.1,0.11,0.12,0.07,0.11,0.13,0.07,0.07,0.13,0.12,0.13,0.07,0.08,0.07,0.09,0.12,0.1,0.13,0.09,0.14,0.1,0.1,0,9.71,-0.06,2183.33,2012.5,2516.67,Walking
0.1,0.09,0.11,0.08,0.1,0.14,0.08,0.11,0.13,0.09,0.12,0.11,0.12,0.07,0.12,0.07,0.07,0.12,0.12,0.11,0.12,0.09,0.11,0.1,0.11,0.1,0.1,0.1,0.08,0.11,0,9.69,-0.28,2325,1462.5,725,Walking
0.12,0.11,0.08,0.08,0.11,0.1,0.15,0.09,0.07,0.12,0.12,0.12,0.1,0.11,0.07,0.11,0.1,0.09,0.1,0.1,0.11,0.13,0.08,0.06,0.11,0.1,0.12,0.11,0.1,0.1,0,9.63,-0.15,2016.67,1250,857.14,Walking
0.13,0.12,0.05,0.1,0.09,0.09,0.12,0.11,0.11,0.09,0.12,0.07,0.14,0.11,0.08,0.07,0.12,0.09,0.12,0.11,0.12,0.13,0.09,0.11,0.13,0.07,0.09,0.09,0.1,0.11,0,9.75,-0.29,3200,642.31,1280,Walking
0.13,0.09,0.1,0.08,0.11,0.08,0.11,0.1,0.1,0.11,0.1,0.1,0.08,0.14,0.08,0.13,0.09,0.12,0.09,0.09,0.1,0.1,0.11,0.12,0.1,0.1,0.07,0.1,0.11,0.11,0,9.67,-0.09,1112.5,1056.25,2116.67,Walking
0.14,0.08,0.08,0.14,0.1,0.08,0.09,0.08,0.12,0.11,0.1,0.12,0.09,0.1,0.11,0.07,0.11,0.1,0.11,0.11,0.11,0.13,0.07,0.14,0.07,0.08,0.09,0.13,0.09,0.11,0,9.7,-0.22,1616.67,911.11,1525,Walking
0.12,0.1,0.12,0.09,0.09,0.09,0.1,0.12,0.1,0.1,0.08,0.12,0.12,0.07,0.12,0.11,0.09,0.12,0.08,0.12,0.11,0.1,0.12,0.13,0.12,0.09,0.06,0.11,0.09,0.1,0,9.76,-0.21,2833.33,745,2250,Walking
0.09,0.09,0.11,0.13,0.08,0.1,0.11,0.1,0.13,0.09,0.08,0.13,0.1,0.11,0.09,0.1,0.12,0.08,0.08,0.13,0.1,0.11,0.09,0.11,0.11,0.1,0.09,0.11,0.11,0.09,0,9.79,-0.21,1156.25,762.5,1000,Walking
0.11,0.09,0.1,0.12,0.1,0.07,0.1,0.08,0.12,0.12,0.11,0.09,0.08,0.11,0.11,0.09,0.14,0.1,0.09,0.1,0.08,0.11,0.13,0.13,0.09,0.1,0.08,0.11,0.09,0.11,0,9.7,-0.11,805.56,1800,1285.71,Walking
0.06,0.09,0.12,0.09,0.14,0.12,0.12,0.12,0.05,0.11,0.09,0.1,0.1,0.12,0.11,0.07,0.13,0.1,0.13,0.08,0.1,0.07,0.13,0.08,0.1,0.13,0.08,0.13,0.11,0.1,0,9.74,-0.02,1683.33,1221.43,2250,Walking
0.05,0.09,0.13,0.09,0.1,0.09,0.13,0.11,0.13,0.1,0.09,0.13,0.11,0.13,0.09,0.11,0.06,0.09,0.13,0.08,0.1,0.12,0.08,0.09,0.07,0.15,0.09,0.12,0.1,0.11,0,9.58,-0.13,2337.5,1900,1500,Walking
0.06,0.1,0.08,0.12,0.11,0.14,0.09,0.09,0.11,0.12,0.11,0.09,0.09,0.12,0.12,0.06,0.11,0.1,0.08,0.13,0.1,0.09,0.12,0.1,0.09,0.14,0.09,0.09,0.1,0.1,0,9.76,-0.12,1290,1380,2725,Walking
0.07,0.12,0.1,0.11,0.1,0.07,0.07,0.15,0.11,0.11,0.1,0.11,0.12,0.07,0.12,0.1,0.07,0.13,0.08,0.13,0.12,0.13,0.07,0.14,0.07,0.13,0.07,0.09,0.08,0.12,0,9.76,-0.18,3450,822.22,1090,Walking
0.06,0.1,0.1,0.08,0.09,0.11,0.1,0.09,0.1,0.08,0.07,0.09,0.1,0.06,0.14,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.08,0.05,0.08,0.09,0.09,0.15,0.15,0.07,0,8.6,0.13,2266.67,942.86,1333.33,Walking
