@relation activity_recognition_labeled-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R41-42

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute Y0 numeric
@attribute Y1 numeric
@attribute Y2 numeric
@attribute Y3 numeric
@attribute Y4 numeric
@attribute Y5 numeric
@attribute Y6 numeric
@attribute Y7 numeric
@attribute Y8 numeric
@attribute Y9 numeric
@attribute Z0 numeric
@attribute Z1 numeric
@attribute Z2 numeric
@attribute Z3 numeric
@attribute Z4 numeric
@attribute Z5 numeric
@attribute Z6 numeric
@attribute Z7 numeric
@attribute Z8 numeric
@attribute Z9 numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XPEAK numeric
@attribute YPEAK numeric
@attribute ZPEAK numeric
@attribute XABSOLDEV numeric
@attribute YABSOLDEV numeric
@attribute ZABSOLDEV numeric
@attribute XSTANDDEV numeric
@attribute class {Walking,Jogging,Upstairs,Downstairs,Sitting,Standing}

@data
0.04,0.09,0.14,0.12,0.11,0.1,0.08,0.13,0.13,0.08,0.09,0.1,0.11,0.11,0.08,0.04,0.16,0.13,0.1,0.03,0.12,0.08,0.09,0.12,0.1,0.1,0.08,0.11,0.12,0.1,0,8.4,1.76,2075,293.94,1550,3.29,7.21,4,4.05,Jogging
0.12,0.12,0.06,0.07,0.11,0.1,0.11,0.09,0.12,0.1,0.12,0.11,0.07,0.1,0.13,0.13,0.06,0.11,0.1,0.04,0.11,0.11,0.11,0.09,0.12,0.1,0.11,0.1,0.07,0.08,0,7.62,1.43,1525,269.44,1233.33,4.23,6.88,4.05,5.43,Jogging
0.14,0.09,0.11,0.09,0.09,0.11,0.12,0.08,0.05,0.12,0.09,0.1,0.12,0.1,0.1,0.12,0.08,0.07,0.1,0.06,0.07,0.11,0.1,0.09,0.08,0.11,0.11,0.09,0.1,0.12,0,7.77,2.39,1766.67,248.65,1780,4.18,6.89,4.07,5.55,Jogging
0.06,0.1,0.09,0.09,0.11,0.07,0.12,0.1,0.14,0.14,0.12,0.08,0.11,0.1,0.1,0.11,0.11,0.1,0.08,0.11,0.1,0.1,0.11,0.1,0.09,0.07,0.12,0.14,0.07,0.11,0,9.57,0.49,2525,709.09,1380,2.26,4.13,2.49,2.87,Walking
0.12,0.11,0.1,0.08,0.1,0.14,0.1,0.11,0.08,0.07,0.1,0.11,0.07,0.09,0.1,0.11,0.1,0.11,0.14,0.09,0.1,0.09,0.11,0.1,0.11,0.11,0.08,0.09,0.14,0.1,0,9.76,0.51,1075,3300,1775,2.29,3.94,2.41,3.08,Walking
0.09,0.09,0.1,0.12,0.08,0.06,0.09,0.08,0.07,0.08,0.07,0.1,0.11,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.08,0.1,0.06,0.09,0.09,0.11,0.08,0.08,0.07,0.08,0,7.73,0.31,3125,1337.5,2675,2,3.39,1.94,3.13,Walking
0.12,0.12,0.12,0.13,0.15,0.11,0.08,0.09,0.06,0.03,0.1,0.11,0.09,0.1,0.1,0.12,0.09,0.11,0.1,0.1,0.13,0.08,0.11,0.12,0.08,0.07,0.09,0.1,0.11,0.13,0,9.2,1.19,4900,1058.33,1825,1.56,2.55,1.72,2.09,Upstairs
0.1,0.1,0.1,0.1,0.11,0.11,0.09,0.09,0.12,0.12,0.09,0.11,0.1,0.08,0.1,0.12,0.08,0.1,0.11,0.11,0.08,0.11,0.1,0.1,0.12,0.1,0.13,0.1,0.07,0.1,0,9.3,1.4,800,1275,2983.33,1.84,2.69,1.41,2.22,Upstairs
0.08,0.07,0.08,0.08,0.05,0.08,0.14,0.1,0.15,0.16,0.12,0.09,0.09,0.12,0.11,0.08,0.11,0.09,0.1,0.1,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0,9.06,1.38,1283.33,845.45,1533.33,2.26,2.7,1.3,2.68,Upstairs
0.01,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0,0,0.01,0.02,0,0.01,0,0,0.01,0,0,0,0,0.39,-0.01,1840.901477,125,2032.625601,0.07,0.37,0.03,1.85,Upstairs
